Start Vertex,End Vertex,Weight
0,1,56
0,2,63
0,3,114
0,4,119
0,5,136
0,6,173
0,7,173
0,8,159
0,9,51
0,10,63
0,11,91
0,12,140
0,13,130
0,14,176
1,2,47
1,3,84
1,4,90
1,5,123
1,6,160
1,7,160
1,8,171
1,9,74
1,10,42
1,11,94
1,12,93
1,13,98
1,14,176
2,3,61
2,4,84
2,5,99
2,6,160
2,7,171
2,8,117
2,9,108
2,10,42
2,11,134
2,12,172
2,13,168
2,14,179
3,4,38
3,5,47
3,6,82
3,7,82
3,8,104
3,9,61
3,10,72
3,11,43
3,12,121
3,13,118
3,14,125
4,5,39
4,6,46
4,7,46
4,8,100
4,9,88
4,10,75
4,11,31
4,12,77
4,13,52
4,14,98
5,6,46
5,7,46
5,8,48
5,9,112
5,10,126
5,11,52
5,12,46
5,13,44
6,7,2
6,8,84
6,9,145
6,10,145
6,11,75
6,12,51
6,13,64
6,14,84
7,8,84
7,9,145
7,10,145
7,11,75
7,12,51
7,13,64
7,14,84
8,9,87
8,10,89
8,11,67
8,12,49
8,13,50
8,14,40
9,10,40
9,11,64
9,12,131
9,13,137
9,14,126
10,11,61
10,12,122
10,13,117
10,14,140
11,12,76
11,13,76
11,14,92
12,13,3
12,14,60
13,14,56
